DISTRITO ,ID,AGUA,DESHIDRATACION,PESO_kg,Ind_enfer,VAR_ali
D06,D06-54,5,2,270,3,3
D06,D06-55,5,5,318,4,3
D06,D06-56,5,0,260,3,3
D06,D06-57,10,2,391,2,2
D06,D06-58,5,0,212,2,1
D06,D06-59,5,0,301,1,1
D06,D06-60,5,0,275,2,1
D06,D06-61,5,0,195,3,1
D06,D06-62,5,0,195,2,1
D06,D06-63,5,0,318,2,3
D06,D06-64,8,0,265,2,3
D06,D06-65,5,6,275,4,4
D06,D06-66,8,0,312,2,2
D06,D06-67,5,3,335,2,3
D06,D06-68,10,0,166,3,3
D06,D06-69,5,0,235,1,3
D06,D06-70,5,0,296,3,3
